"chapter","joy","trust","sadness","anticipation","anger","disgust","fear","surprise"
"1","19","13","11","8","6","6","6","5"
"2","9","4","16","3","4","3","5","2"
"3","42","22","10","","26","25","21","10"
"4","11","16","6","7","9","7","7","4"
"5","5","4","3","2","","1","2","2"
"6","5","6","6","3","2","2","5","2"
"7","6","3","11","2","6","","6","2"
"8","8","8","1","4","1","2","2","1"
"9","29","17","36","","28","38","35","9"
"10","13","24","3","12","7","5","6","5"
"11","14","9","4","2","3","2","2",""
"12","11","5","5","8","3","4","7","1"
"13","10","11","3","5","8","4","8","7"
"14","3","2","","4","5","1","9","3"
"15","3","5","4","3","4","1","","2"
"16","25","37","34","19","21","17","28","15"
"17","8","13","18","","12","5","6","7"
"18","4","5","4","","3","4","7","1"
"19","5","7","3","7","6","3","1","1"
"20","2","6","2","7","","","3","1"
"21","2","8","1","","2","","1","3"
"22","13","7","3","9","6","1","10","1"
"23","4","2","8","1","5","1","4",""
"24","14","32","2","6","5","4","6","2"
"25","2","10","","","","","",""
"26","14","12","11","5","10","9","9","4"
"27","16","11","6","13","12","5","7","2"
"28","10","4","8","8","14","4","8","3"
"29","4","4","2","","6","2","3","2"
"30","3","3","","1","","","1",""
"31","4","4","5","","30","9","5","1"
"32","25","39","16","17","18","6","18","12"
"33","3","6","2","1","2","1","2","1"
"34","14","11","13","8","14","11","11","8"
"35","17","26","18","12","6","10","7","6"
"36","13","14","12","16","20","5","6","14"
"37","5","2","1","2","5","2","1","4"
"38","3","1","5","","5","5","4","4"
"39","6","3","1","1","","","",""
"40","10","5","5","7","12","5","8","4"
"41","15","20","35","16","47","20","43","18"
"42","16","22","17","10","21","26","34","10"
"43","","","","1","","","","1"
"44","5","12","7","10","7","7","12","7"
"45","10","30","19","15","14","14","22","10"
"46","6","13","3","6","9","4","4",""
"47","","4","3","2","4","1","1","4"
"48","26","14","19","21","14","4","15","18"
"49","7","10","4","2","4","2","3","5"
"50","2","8","2","7","3","","1",""
"51","6","5","12","5","6","7","9","6"
"52","","3","6","6","2","","1","1"
"53","10","9","3","2","2","1","2","3"
"54","27","51","42","45","81","40","57","32"
"55","6","18","3","6","5","3","5","2"
"56","15","12","4","2","7","1","2","3"
"57","9","7","4","2","12","1","8","2"
"58","9","4","7","1","6","5","7","6"
"59","1","3","1","11","3","","3","5"
"60","12","6","7","7","2","6","8","3"
"61","7","5","7","12","7","2","8","9"
"62","4","2","2","6","1","","2","2"
"63","2","2","4","","1","2","2","1"
"64","10","16","6","18","13","4","6","8"
"65","10","10","2","1","2","7","2","3"
"66","2","","3","1","3","3","4","3"
"67","4","2","2","3","2","","2","2"
"68","15","5","1","","3","2","1","5"
"69","2","2","10","1","4","5","11",""
"70","5","5","5","1","","3","4","3"
"71","7","10","10","20","14","9","20","13"
"72","6","9","9","7","13","5","10","7"
"73","7","2","5","","7","5","9","10"
"74","6","1","10","6","4","3","1","3"
"75","5","9","4","2","7","","1","4"
"76","","2","2","3","1","3","1",""
"77","4","","1","2","","1","1","1"
"78","10","2","15","7","5","9","7","4"
"79","6","6","4","3","6","4","7","1"
"80","9","5","1","","2","1","1",""
"81","20","18","34","25","23","10","29","16"
"82","9","8","3","5","4","3","4","1"
"83","5","5","1","3","1","3","2","1"
"84","5","7","4","2","6","","2","3"
"85","9","19","4","4","1","1","10","3"
"86","13","14","9","2","12","4","5","5"
"87","30","18","22","30","24","9","30","21"
"88","7","10","3","9","11","5","6","3"
"89","3","11","12","3","6","7","3","2"
"90","1","11","6","2","1","1","1","1"
"91","14","15","6","9","7","7","9","5"
"92","5","5","5","","4","6","2","1"
"93","22","11","14","4","12","4","9","10"
"94","13","6","4","5","2","2","","5"
"95","1","5","1","1","3","3","","3"
"96","7","9","5","4","11","5","6","3"
"97","","","2","1","","","",""
"98","10","5","6","","5","1","2","3"
"99","20","14","8","","8","6","5","1"
"100","10","6","6","9","11","8","11","7"
"101","13","7","2","5","2","2","5","4"
"102","12","14","3","3","4","1","5","7"
"103","3","7","","","2","1","2","1"
"104","6","13","5","1","4","2","6","4"
"105","5","6","5","3","1","3","5","4"
"106","4","3","13","4","6","2","6","1"
"107","3","10","3","1","5","2","1",""
"108","12","14","2","","6","2","4",""
"109","2","4","5","10","6","1","5","2"
"110","17","15","12","13","15","15","18","9"
"111","4","1","1","1","3","2","1",""
"112","11","10","9","5","6","6","2",""
"113","7","4","8","5","7","1","5","2"
"114","8","9","4","4","3","1","2",""
"115","11","1","3","2","6","2","1","5"
"116","3","5","5","3","1","","",""
"117","1","1","1","","1","","1",""
"118","1","3","3","4","5","","5","2"
"119","22","9","15","8","17","5","14","12"
"120","","","","","3","1","1",""
"121","5","4","1","2","2","1","2",""
"122","","","","","","","",""
"123","7","10","7","9","9","7","8",""
"124","4","6","10","11","9","3","12","8"
"125","4","5","2","","8","7","4","2"
"126","5","4","11","8","5","3","10","3"
"127","2","1","4","2","5","1","9","6"
"128","6","6","12","9","2","","9","6"
"129","2","1","2","","3","3","4",""
"130","4","3","14","10","3","2","12","8"
"131","3","1","10","3","","","2","3"
"132","21","8","8","4","6","7","11","3"
"133","20","5","25","31","21","8","12","17"
"134","18","11","14","17","21","10","18","9"
"135","16","14","21","16","34","9","25","13"
