"chapter","joy","sadness","anticipation","fear","anger","disgust","surprise","trust"
"1","154","87","67","46","39","36","27","16"
"2","3","5","","","","2","","6"
"3","14","26","8","11","12","15","10","23"
"4","20","24","24","21","9","17","8","30"
"5","","","","","","","",""
"6","26","38","18","23","18","36","10","27"
"7","36","32","20","25","29","22","13","34"
"8","30","13","13","5","9","6","3","18"
"9","26","13","18","9","9","12","7","30"
"10","34","18","28","14","9","10","15","40"
"11","23","34","21","22","12","24","8","26"
"12","18","28","5","21","17","23","8","24"
"13","27","21","13","27","14","18","24","23"
"14","19","21","14","14","14","11","6","37"
"15","10","30","9","15","19","10","8","17"
"16","14","21","9","15","14","11","2","15"
"17","10","23","10","7","5","6","4","4"
"18","13","39","14","28","21","16","15","11"
"19","33","26","10","14","3","9","7","15"
"20","33","21","10","14","8","3","10","31"
"21","44","17","16","20","12","23","12","48"
"22","34","20","9","9","5","8","6","29"
"23","30","30","21","14","6","14","10","39"
"24","26","27","15","25","4","19","7","35"
"25","26","27","5","7","8","12","5","33"
