"chapter","trust","anticipation","fear","joy","anger","disgust","sadness","surprise"
"1","9","8","7","7","6","5","3",""
"2","33","11","7","4","8","5","6","3"
"3","13","2","4","11","3","3","13","3"
"4","22","24","11","34","4","7","18","5"
"5","14","10","11","17","11","16","31","10"
"6","21","12","14","13","6","5","50","4"
"7","29","10","5","12","7","13","12","8"
"8","18","9","16","11","9","17","11","4"
"9","64","18","16","30","22","23","27","10"
"10","13","9","4","23","8","5","19",""
"11","20","9","3","13","8","5","12","8"
"12","46","17","21","38","15","13","25","10"
"13","14","13","18","27","18","21","21","6"
"14","12","8","3","5","4","2","6","3"
"15","24","22","16","17","22","13","21","6"
"16","46","21","7","48","4","2","13","5"
"17","19","4","1","8","18","7","8","13"
"18","30","11","2","13","13","6","14","5"
"19","15","5","10","12","8","6","20","2"
"20","26","12","25","19","22","7","22","6"
"21","18","12","11","16","15","9","24","3"
"22","31","9","8","25","10","6","18","6"
"23","35","5","7","35","4","3","18","3"
"24","43","12","7","21","4","4","7","3"
"25","71","26","21","13","4","4","9","7"
"26","20","1","4","17","1","6","9","6"
"27","30","16","27","34","35","13","27","14"
"28","12","6","11","10","10","9","11","9"
"29","15","17","8","24","9","3","16","7"
"30","39","18","17","24","21","24","32","9"
"31","43","15","30","16","27","24","37","19"
"32","23","10","13","13","7","13","8","6"
"33","21","6","8","8","4","","11","3"
"34","36","11","13","7","9","12","14","3"
"35","28","10","10","8","4","7","11","9"
"36","29","15","8","16","10","6","14",""
"37","27","12","12","19","6","1","6","3"
"38","44","26","25","20","20","8","21","20"
"39","42","19","11","30","12","12","31","10"
"40","59","26","24","23","34","25","59","13"
"41","21","2","6","15","2","2","13","2"
"42","20","12","11","12","7","6","18","1"
"43","30","22","19","23","9","6","33","11"
"44","50","39","32","29","18","12","40","14"
"45","23","10","7","16","4","8","16","4"
