"chapter","trust","joy","anger","sadness","anticipation","fear","surprise","disgust"
"1","19","17","13","13","11","11","8","7"
"2","4","14","7","6","5","6","13","2"
"3","24","20","2","8","9","11","15","4"
"4","17","31","19","10","9","11","10","15"
"5","13","27","11","16","12","8","10","5"
"6","11","28","14","8","4","6","9","7"
"7","13","19","16","8","8","11","8","2"
"8","18","26","12","23","8","17","22","5"
"9","16","31","12","11","12","17","22","4"
"10","","","","","","","",""
"11","","","","","","","",""
"12","15","7","3","1","4","1","","6"
