"chapter","trust","surprise","sadness","anticipation","fear","joy","anger","disgust"
"1","21","9","8","7","7","7","5","2"
"2","15","3","10","8","9","5","7","1"
"3","4","2","1","8","1","7","3",""
"4","20","4","2","4","6","9","9","6"
"5","9","3","7","7","3","7","1","2"
"6","10","15","13","10","16","10","8","9"
"7","10","9","11","10","4","13","9","3"
"8","13","6","13","","6","7","6","6"
"9","3","2","3","7","5","4","5",""
"10","37","20","14","22","11","47","11","8"
"11","4","5","3","","","8","1",""
"12","9","6","6","6","4","6","4",""
"13","5","10","9","10","3","12","1","1"
"14","9","3","7","13","2","15","4","2"
"15","10","3","9","7","1","9","2","2"
"16","17","15","17","13","11","16","3","5"
"17","4","3","11","","2","10","7","3"
"18","11","11","24","6","12","10","5","2"
"19","3","7","5","10","9","10","3","2"
"20","14","9","16","10","4","47","3","4"
"21","12","6","16","27","24","14","28","7"
"22","6","9","13","12","8","10","8",""
"23","12","7","36","10","7","10","5","4"
"24","16","8","10","7","7","13","10","10"
"25","16","6","4","9","6","12","2","2"
"26","9","9","21","19","12","19","11","6"
"27","18","18","15","13","9","14","3","7"
"28","6","4","15","12","5","4","8","1"
"29","9","5","9","","","9","3","4"
"30","4","2","5","1","","3","1","3"
"31","13","12","29","","13","11","14","7"
"32","10","8","20","15","9","14","11","7"
"33","15","8","13","","6","7","3","4"
"34","7","7","13","11","4","7","2","1"
"35","9","10","16","15","22","10","15","12"
"36","9","11","17","14","5","12","11","1"
"37","11","4","12","9","8","16","9","3"
"38","10","8","6","5","","10","10","2"
"39","9","7","24","20","14","10","11","6"
"40","7","5","12","9","9","17","8","2"
"41","9","11","15","11","13","5","13","8"
"42","15","8","20","17","13","7","19","4"
"43","9","8","20","8","5","5","7","1"
"44","8","11","21","24","18","9","14","6"
"45","11","17","18","11","33","11","11","10"
"46","5","1","","2","4","1","4","3"
