"chapter","sadness","anticipation","joy","surprise","anger","fear","trust","disgust"
"1","14","11","9","8","6","5","5","3"
"2","17","6","8","8","6","5","3","4"
"3","3","2","3","7","1","1","3","1"
"4","8","3","6","14","4","7","3","8"
"5","14","5","5","19","4","9","4","4"
"6","7","5","1","4","3","6","3","1"
"7","9","4","4","7","6","7","9","6"
"8","2","3","5","3","5","2","3","2"
"9","9","7","11","12","8","1","8","1"
"10","12","9","8","15","18","7","3","4"
"11","10","3","6","6","10","10","4","4"
"12","21","12","15","19","19","14","13","9"
"13","17","11","3","8","7","16","3","4"
"14","25","12","7","20","12","22","13","13"
"15","23","19","9","19","16","12","6","9"
"16","34","20","5","18","33","31","12","6"
"17","20","16","9","16","17","18","7","3"
"18","27","14","5","12","15","19","5","7"
"19","16","13","16","6","18","8","16","14"
"20","16","9","8","7","15","16","9","18"
"21","14","12","3","6","15","16","6","4"
"22","6","4","1","6","5","6","5","3"
"23","14","5","1","10","5","3","6","4"
"24","35","","31","19","19","41","18","23"
"25","28","10","5","7","28","23","16","10"
"26","19","8","10","11","6","7","7","5"
"27","11","11","6","6","6","9","7","6"
