"chapter","Excited","Happy","Sad","Fear","Bored","Angry"
"1","0.3161216927","0.225377888","0.1169845136","0.1675988449","0.0460782274","0.1278388334"
"2","0.1171173939","0.2766078744","0.4119856836","0.1085980804","0.0316822191","0.0540087487"
"3","0.1655104377","0.1787839281","0.1937135034","0.1984107148","0.1230343374","0.1405470786"
"4","0.1789561409","0.195695321","0.2953840967","0.1481054724","0.0679430793","0.1139158897"
"5","0.2486605513","0.2711759031","0.1591163776","0.1557305647","0.0268526831","0.1384639201"
"6","0.2253388584","0.2473472136","0.2482048771","0.1263645445","0.0410735902","0.1116709162"
"7","0.1082543377","0.1013950191","0.355712003","0.2039679792","0.0615863001","0.1690843607"
"8","0.1953206543","0.1952250511","0.1671955361","0.2045789947","0.0980019342","0.1396778296"
"9","0.3161736644","0.3378461502","0.0839596126","0.1604476056","0.0460584207","0.0555145466"
"10","0.0760276534","0.0629829804","0.259917039","0.2030093497","0.1583189612","0.2397440164"
"11","0.1297517336","0.1764773178","0.3439172665","0.2252390992","0.0377754424","0.0868391405"
"12","0.1698873181","0.1341342744","0.1834158026","0.2698799227","0.0791696183","0.1635130639"
"13","0.1412975578","0.3494268634","0.2220860196","0.1589140937","0.0408425562","0.0874329093"
"14","0.1268407483","0.1080216257","0.2178598335","0.1840321939","0.1300615832","0.2331840155"
"15","0.2670275714","0.3091505125","0.2024092652","0.0866445914","0.0380069706","0.0967610888"
"16","0.1304773636","0.2652323028","0.3569200962","0.1228475389","0.0","0.1245226985"
"17","0.0858441732","0.1471076909","0.5089649227","0.1311826124","0.0346410222","0.0922595785"
"18","0.1943455729","0.1583572103","0.1820449847","0.2451396616","0.0603750918","0.1597374787"
"19","0.3183056728","0.3384184756","0.0922427519","0.1268652433","0.03027232","0.0938955364"
"20","0.2082385538","0.2511244866","0.2236956199","0.1389548959","0.0630040223","0.1149824214"
"21","0.1252333379","0.0942185156","0.2626722453","0.2820503681","0.0804597224","0.1553658107"
"22","0.1431842249","0.2527207194","0.3851792671","0.1571675941","0.0","0.0617481945"
"23","0.1113199904","0.1279925369","0.2469575262","0.1588191251","0.1685083915","0.18640243"
"24","0.145519829","0.1962939729","0.2495051976","0.1499887236","0.0886484603","0.1700438166"
"25","0.257505237","0.3381851245","0.1609796132","0.1272478044","0.0367764507","0.0793057702"
"26","0.1040371258","0.1007221648","0.1723895251","0.1995021649","0.0695659437","0.3537830757"
"27","0.2935038288","0.2567474679","0.1504886041","0.1406819792","0.0361047783","0.1224733418"
"28","0.3432884101","0.415001165","0.0628001612","0.0831654447","0.0271010474","0.0686437715"
"29","0.4227065599","0.2827353483","0.0649458352","0.0889629976","0.0166334799","0.1240157791"
"30","0.1723919098","0.3388926702","0.1905813894","0.141845312","0.0728075738","0.0834811448"
"31","0.4225279129","0.2742260812","0.0657140415","0.099987078","0.0259244924","0.111620394"
"32","0.1663602626","0.1908021887","0.2871237978","0.2241802038","0.0451799192","0.086353628"
"33","0.2041773882","0.3519836224","0.2013253198","0.1417451884","0.0241636139","0.0766048672"
"34","0.1754218541","0.2099298331","0.3255630613","0.1065620077","0.0395049849","0.1430182589"
"35","0.1037032762","0.1382655768","0.3517820836","0.2362393122","0.0669229321","0.1030868192"
"36","0.1560699144","0.1717528997","0.282534143","0.1599931582","0.0609443797","0.168705505"
"37","0.2107188053","0.2229747479","0.2147359049","0.1551282194","0.0588075569","0.1376347655"
"38","0.1845315402","0.211519307","0.2469762877","0.1807202222","0.0530194575","0.1232331853"
"39","0.4496582642","0.2311464263","0.0393548883","0.1119463167","0.0242066294","0.1436874751"
"40","0.2285079351","0.1612479412","0.2060617469","0.1185964075","0.0429180845","0.2426678849"
"41","0.0878191325","0.1017857444","0.6067206753","0.1166728479","0.0353534792","0.0516481208"
"42","0.1415221974","0.2251076676","0.1831814134","0.1365531885","0.0785229984","0.2351125348"
"43","0.136483153","0.1584350796","0.1071793942","0.1235840431","0.3678714776","0.1064468524"
"44","0.2467557502","0.209151801","0.1583334587","0.2512755109","0.0451389121","0.0893445671"
"45","0.154169872","0.2135242535","0.2915447977","0.1624269854","0.0335147903","0.1448193011"
"46","0.0722461346","0.0538393638","0.2641470794","0.2495195855","0.1348202569","0.2254275798"
"47","0.0295105223","0.0407427639","0.5150041827","0.1182733415","0.041643379","0.2548258107"
"48","0.1184509161","0.1944008109","0.4162222938","0.1496442846","0.0351152102","0.0861664844"
"49","0.0980531446","0.0750778725","0.4514122988","0.1832173283","0.072959236","0.1192801199"
"50","0.2675887721","0.2366657775","0.1530356349","0.2541534894","0.0","0.0885563261"
"51","0.1129516438","0.1048512397","0.3282511223","0.2098518501","0.1170272106","0.1270669335"
"52","0.123567658","0.216548543","0.3571214483","0.1867522443","0.0417572026","0.0742529038"
"53","0.1839025802","0.3089213186","0.2674348964","0.1069328845","0.0583700782","0.0744382419"
"54","0.2181471928","0.3484560742","0.114808135","0.1466025562","0.041231183","0.1307548588"
"55","0.2037922267","0.2123773336","0.2833270731","0.1362129524","0.0513984476","0.1128919665"
"56","0.128568097","0.1530779252","0.3132548588","0.1563290903","0.1052000601","0.1435699685"
"57","0.2454081299","0.3317893239","0.1250280522","0.1361381502","0.0874328583","0.0742034855"
"58","0.4377341642","0.3083373558","0.0615395989","0.0626885081","0.0399860643","0.0897143087"
"59","0.1435786358","0.2306453454","0.2656748707","0.1629232559","0.0628580878","0.1343198043"
"60","0.1541882697","0.2921399736","0.183985168","0.2226813534","0.0636157727","0.0833894626"
"61","0.1957430124","0.3157322426","0.2361800891","0.1209397947","0.041057369","0.0903474922"
