"chapter","Sad","Angry","Happy","Excited","Fear","Bored"
"1","0.2732436084","0.1459242956","0.1713015705","0.1834906579","0.2260398676","0.0"
"2","0.104724947","0.1866669709","0.3354705292","0.1516696408","0.1148884779","0.1065794342"
"3","0.3501928791","0.2053732995","0.1453243278","0.0967488005","0.1696713387","0.0326893545"
"4","0.2097081933","0.1270804284","0.1569665267","0.1973025658","0.2644876149","0.0444546709"
"5","0.169924744","0.1044412885","0.2198762127","0.2462390881","0.2119284708","0.0475901959"
"6","0.2209773973","0.1374748534","0.1991325933","0.2045558259","0.1986863519","0.0391729781"
"7","0.1422058628","0.0459898446","0.3629369327","0.2920630164","0.1568043435","0.0"
"8","0.2346716928","0.102959132","0.2733411622","0.1943139299","0.15508822","0.0396258631"
"9","0.0567326844","0.0439736898","0.364749158","0.389530022","0.1450144458","0.0"
"10","0.1358107788","0.1343340553","0.5959792009","0.0569361871","0.0498239402","0.0271158377"
"11","0.3229756198","0.049363734","0.277613223","0.1443758202","0.1541707366","0.0515008663"
"12","0.1570740879","0.0759605105","0.3071615192","0.218434119","0.2103189469","0.0310508165"
