"chapter","Bored","Happy","Angry","Fear","Sad","Excited"
"1","0.1592835178","0.056950827","0.301210451","0.133163302","0.3026552897","0.0467366125"
"2","0.0","0.1380644046","0.0420374076","0.1672819613","0.5708919134","0.081724313"
"3","0.0521729841","0.3340462601","0.1431231629","0.1411862587","0.1224948355","0.2069764987"
"4","0.0390059541","0.1276382693","0.1062705227","0.310337303","0.3067373766","0.1100105743"
"5","0.0482513576","0.1674777095","0.099524448","0.2778508655","0.1876882848","0.2192073347"
"6","0.0365755653","0.1312935062","0.0992177211","0.3568873575","0.2658279987","0.1101978512"
"7","0.0302349964","0.1312998961","0.1954519562","0.2340800147","0.25233909","0.1565940466"
"8","0.0","0.4201815535","0.0806183409","0.1111711502","0.117242107","0.2707868485"
"9","0.0","0.3661987702","0.1380711867","0.1552377026","0.1379907805","0.20250156"
"10","0.0416722202","0.2403387568","0.10510476","0.2260277426","0.2178388864","0.1690176341"
"11","0.043690423","0.3542828903","0.1363889586","0.0915220903","0.148554146","0.2255614918"
"12","0.0","0.1682095993","0.0910133243","0.2815329317","0.3126379771","0.1466061675"
