"chapter","anger_abs","anger","joy_abs","joy","disgust_abs","disgust","trust_abs","trust","sadness_abs","sadness","surprise_abs","surprise","fear_abs","fear","anticipation_abs","anticipation"
"1","23","100","20","87","18","78","14","61","10","43","8","35","7","30","4","17"
"2","29","91","22","69","22","69","32","100","26","81","11","34","28","88","28","88"
"3","39","81","20","42","27","56","26","54","48","100","18","38","28","58","",""
"4","21","100","20","95","6","29","13","62","18","86","7","33","9","43","16","76"
"5","17","94","17","94","7","39","11","61","18","100","4","22","8","44","",""
"6","25","100","18","72","16","64","10","40","19","76","11","44","24","96","16","64"
"7","25","60","42","100","16","38","37","88","26","62","15","36","13","31","24","57"
"8","45","100","29","64","28","62","30","67","35","78","11","24","15","33","",""
"9","50","68","74","100","24","32","63","85","58","78","26","35","33","45","26","35"
"10","50","68","74","100","36","49","57","77","46","62","32","43","31","42","",""
"11","63","100","21","33","36","57","44","70","37","59","25","40","38","60","32","51"
"12","32","68","16","34","14","30","21","45","47","100","23","49","39","83","",""
"13","36","84","43","100","16","37","36","84","37","86","16","37","15","35","",""
"14","24","57","37","88","19","45","42","100","35","83","11","26","19","45","",""
"15","24","86","25","89","8","29","27","96","28","100","11","39","16","57","",""
"16","10","37","18","67","6","22","11","41","27","100","6","22","18","67","11","41"
"17","58","78","58","78","51","69","58","78","74","100","22","30","43","58","",""
"18","28","90","31","100","14","45","30","97","27","87","10","32","18","58","17","55"
"19","2","9","12","55","1","5","13","59","22","100","2","9","4","18","12","55"
"20","13","38","34","100","10","29","24","71","20","59","6","18","10","29","",""
"21","59","88","67","100","43","64","49","73","56","84","28","42","18","27","",""
"22","14","48","29","100","9","31","24","83","29","100","4","14","16","55","9","31"
"23","32","76","42","100","19","45","16","38","35","83","8","19","14","33","14","33"
"24","39","98","36","90","21","52","26","65","40","100","25","62","19","48","",""
"25","6","27","22","100","5","23","17","77","17","77","","","8","36","10","45"
"26","12","52","17","74","6","26","11","48","23","100","10","43","7","30","12","52"
"27","36","80","32","71","25","56","34","76","44","98","15","33","45","100","",""
"28","15","50","16","53","9","30","16","53","30","100","5","17","12","40","18","60"
"29","15","50","21","70","6","20","14","47","30","100","8","27","12","40","11","37"
"30","18","90","20","100","7","35","12","60","17","85","3","15","9","45","",""
"31","19","100","19","100","11","58","11","58","13","68","6","32","10","53","",""
"32","30","75","40","100","18","45","29","72","27","68","16","40","10","25","22","55"
"33","27","100","19","70","13","48","18","67","16","59","17","63","17","63","23","85"
"34","18","49","33","89","16","43","16","43","37","100","19","51","24","65","19","51"
