"chapter","fear","sadness","joy","trust","disgust","anger","surprise","anticipation"
"1","46","36","35","26","19","13","12",""
"2","23","18","38","43","14","13","12","16"
"3","39","17","53","63","26","28","9","26"
"4","40","31","34","27","30","26","12","25"
"5","","23","69","86","13","5","5",""
"6","","26","52","36","15","39","7","20"
"7","","","","","","","",""
"8","47","33","64","61","13","21","19","28"
"9","32","45","58","104","27","19","11","25"
"10","30","27","44","46","20","15","13","25"
"11","29","30","45","46","18","20","19","25"
"12","41","50","57","86","13","25","17",""
"13","34","52","74","93","20","6","15","19"
"14","22","28","53","68","19","15","12","25"
"15","22","47","27","42","18","33","13","26"
"16","29","32","26","29","27","21","16","18"
"17","20","31","39","59","22","8","7","33"
"18","42","30","38","74","28","27","22","23"
"19","53","37","28","32","46","27","17","15"
"20","28","24","27","46","20","16","17","31"
"21","37","49","11","30","40","20","30","17"
"22","28","27","39","57","24","18","6","25"
"23","35","43","38","46","14","24","14","33"
"24","23","15","43","53","11","11","9",""
"25","31","20","37","52","20","11","8","34"
"26","38","34","37","66","17","19","13","48"
"27","63","48","54","45","43","33","17","35"
"28","1","1","7","8","2","1","","1"
