"chapter","joy","sadness","fear","anger","anticipation","disgust","trust","surprise"
"1","6","6","5","4","4","3","1",""
"2","11","2","6","4","10","7","14","2"
"3","3","3","1","3","5","5","4",""
"4","13","4","1","2","","2","2","1"
"5","6","1","4","10","","4","5","1"
"6","11","11","6","11","","4","3","2"
"7","5","5","2","2","7","4","7","1"
"8","22","8","11","5","10","10","9","4"
"9","9","3","8","2","4","4","6","1"
"10","5","5","13","4","4","16","3","4"
"11","17","6","10","3","5","13","7","3"
"12","14","8","9","6","5","6","15","5"
"13","5","11","5","4","4","4","6",""
"14","5","4","","4","3","","",""
"15","10","4","4","12","","11","6","2"
"16","15","6","10","8","10","11","9","3"
"17","29","14","4","4","","5","16","2"
"18","32","15","19","8","9","11","20","9"
"19","25","18","7","3","7","5","29","2"
"20","26","11","3","9","8","9","20","2"
"21","25","9","13","26","","14","19","6"
"22","24","4","15","21","4","13","7","4"
"23","13","11","10","9","5","4","11","1"
"24","7","8","4","11","6","6","14","2"
"25","29","20","4","9","13","17","44","4"
"26","15","10","3","8","5","5","17","1"
"27","18","14","6","17","6","14","3","9"
"28","19","4","6","7","7","10","22","2"
"29","19","12","13","13","5","14","27","12"
"30","6","1","2","9","1","9","7","5"
"31","16","6","11","14","11","24","13","4"
"32","15","11","5","","6","3","9",""
"33","19","6","6","10","5","9","19","7"
"34","14","3","5","5","6","5","6","2"
"35","5","6","7","2","4","4","12","5"
"36","8","4","4","6","3","9","5","2"
"37","12","7","12","6","3","15","7","3"
"38","20","11","19","6","9","12","5",""
"39","11","5","27","3","10","20","7","7"
"40","","","","","","","",""
"41","8","3","5","4","4","3","12","3"
"42","14","6","6","6","6","5","21","2"
"43","5","1","","1","1","1","1",""
