"chapter","joy","trust","sadness","anger","fear","disgust","anticipation","surprise"
"1","83","42","24","23","17","14","13","8"
"2","101","43","30","7","15","8","14","28"
"3","69","36","23","12","12","11","17","3"
"4","103","54","49","15","19","29","19","10"
"5","106","48","13","6","19","10","12","9"
"6","74","40","13","3","18","8","","17"
"7","27","24","30","22","14","18","10","11"
"8","62","46","58","47","26","30","","13"
"9","156","93","51","24","16","37","29","18"
"10","69","38","19","11","14","7","13","16"
"11","67","33","48","18","","11","25","10"
"12","145","102","43","30","30","26","","16"
"13","80","43","10","17","","9","","7"
"14","63","37","10","11","","12","6","14"
"15","45","48","26","11","13","8","23","13"
"16","68","56","23","11","3","5","9",""
"17","25","24","24","5","17","13","","4"
"18","60","45","36","12","22","5","14","9"
"19","64","62","16","8","10","7","18","3"
"20","99","64","16","13","4","12","","5"
"21","41","39","45","31","34","18","25","13"
"22","49","31","12","7","","5","9","8"
"23","76","65","27","13","16","16","16","23"
"24","104","62","26","5","","13","31","3"
"25","54","35","15","8","","4","13","3"
"26","66","39","20","10","12","11","32","10"
"27","61","34","19","6","12","8","17","9"
"28","101","84","48","26","31","23","33","20"
"29","95","55","26","32","13","15","18","18"
"30","82","50","29","23","8","13","30","16"
"31","116","55","15","6","","7","12","7"
"32","93","61","35","21","17","15","16","14"
"33","116","46","21","13","9","9","11","9"
"34","97","86","17","23","22","20","27","21"
"35","93","68","35","20","13","12","16","8"
"36","56","29","18","4","8","4","7","4"
"37","98","50","27","8","","7","21","8"
"38","90","78","44","14","","15","34","13"
"39","122","60","44","32","16","28","19","16"
"40","70","41","20","7","5","5","9",""
"41","130","76","49","13","","9","25","17"
"42","97","67","29","5","5","4","12","7"
"43","158","106","41","14","13","14","22","27"
"44","50","41","12","5","1","6","1","5"
"45","45","30","18","3","4","5","8","7"
"46","102","56","39","17","14","13","16","20"
"47","130","59","19","5","","3","17","13"
